,titulo,descripcion,inicio_curso,videos_youtube,URL,tema,lecciones
10,Google Docs,"En este curso gratuito aprenderás a utilizar una de las aplicaciones más útiles de Google, su procesador de textos Google Docs.",https://edu.gcfglobal.org/es/google-docs/como-crear-un-documento-de-google/1/,0,https://edu.gcfglobal.org/es/google-docs/,Ofimática,"Introducción a Google Docs,Configuración del documento,Imágenes y tablas,Trabajo colaborativo en Google Docs,Imprimir en Google docs,Test Google Docs"
11,Google Meet,En este curso aprenderás cómo usar Google Meet para crear y administrar reuniones por videollamada.,https://edu.gcfglobal.org/es/google-meet/que-es-google-meet/1/,0,https://edu.gcfglobal.org/es/google-meet/,Ofimática,"Introducción a Google Meet,Comenzando en Google meet ,Funciones básicas de Google Meet,Funciones avanzadas de Google Meet,Google Meet en celulares,Test Google Meet"
12,¿Cómo usar internet?,En este curso adquirirás todos los conocimientos básicos y necesarios para aprender a usar Internet.,https://edu.gcfglobal.org/es/como-usar-internet/conceptos-basicos-de-internet/1/,0,https://edu.gcfglobal.org/es/como-usar-internet/,Internet,"¿Qué es internet?,¿Para qué uso Internet?,¿Cómo conectarme a Internet?,La conexión desde móviles,El Navegador ¿Cómo puedo navegar en internet?,¿Cómo busco sitios en internet?"
13,Seguridad en internet,"El aprendiz estará en la capacidad de ver los riesgos y amenazas que se encuentran en la web, identificarlas plenamente, saber qué hacer ante ellas y prevenir futuros hechos que afecten la integridad de la persona o de su familia.",https://edu.gcfglobal.org/es/seguridad-en-internet/que-es-la-seguridad-en-internet/1/,https://www.youtube.com/watch?v=j-NevEFW-YE&list=PLQVIjL9XTrQ1xpWjyAxMICQ2QgSwcxs5G,https://edu.gcfglobal.org/es/seguridad-en-internet/,Internet,"Conceptos básicos,Protégete en internet,Seguridad en internet para menores,El control parental"
14,Crear un Blog en Internet,"En el curso  Crear un blog aprenderás  qué es un blog y cómo por medio de él puedes dar a conocer a otras personas gustos y pasiones. Además, te mostraremos cuál es la mejor plataforma y cómo puedes crear un blog.",https://edu.gcfglobal.org/es/crear-un-blog-en-internet/que-es-un-blog/1/,0,https://edu.gcfglobal.org/es/crear-un-blog-en-internet/,Internet,"¿Para qué un blog en internet?,Crear un blog con Blogger,Crear un blog en WordPress,Crear un blog de Calidad,Obtener imágenes, videos u otros recursos,Consejos para tener un blog exitoso"
15,Creación de sitios web,"En este curso aprenderás conceptos fundamentales como página web, sitio web, lenguajes de programación, dominio y almacenamiento, además de herramientas útiles para la creación de tu primer proyecto en internet.",https://edu.gcfglobal.org/es/creacion-de-sitios-web/que-hacer-en-internet/1/,0,https://edu.gcfglobal.org/es/creacion-de-sitios-web/,Internet,"Conceptos iniciales,Sitios web estáticos,Sitios web dinámicos"
16,¿Cómo funciona la nube?,"En este curso se hablará sobre la computación en la nube, cómo funciona y cuáles son sus usos.",https://edu.gcfglobal.org/es/como-funciona-la-nube/la-nube/1/,https://www.youtube.com/watch?v=U79pyoEhkqI&list=PLQVIjL9XTrQ0dhJauYHV02OGKwPw7jS1u,https://edu.gcfglobal.org/es/como-funciona-la-nube/,Internet,"¿Qué es la nube?,Cómo usar Google Drive,Cómo usar OneDrive,Cómo usar iCloud"
17,Internet Explorer 9,"Utilizar Internet Explorer 9, es práctico y sencillo. ¡Aquí te enseñamos cómo!",https://edu.gcfglobal.org/es/internet-explorer-9/empezando-con-internet-explorer-9/1/,0,https://edu.gcfglobal.org/es/internet-explorer-9/,Internet,"Empezando a usar el navegador,Configuración de Internet Explorer 9,Configuraciones de seguridad,Personalizar Internet Explorer 9,Conoce la nueva versión"
18,Mozilla Firefox,Aprende a manejar el navegador web Mozilla Firefox y adquiere nuevas habilidades en tecnología.,https://edu.gcfglobal.org/es/mozilla-firefox/que-es-mozilla-firefox/1/,https://youtube.com/playlist?list=PLQVIjL9XTrQ18alc7G_sCfF76dzu5E85D,https://edu.gcfglobal.org/es/mozilla-firefox/,Internet,"Características de Mozilla Firefox,Cómo usar Firefox,Firefox en móviles,Quiz final"
19,Cómo Usar Chrome,"Para un acceso práctivo y veloz a la red, utiliza Google Chrome, nosotros te enseñamos cómo.",https://edu.gcfglobal.org/es/como-usar-chrome/bienvenido-a-chrome/1/,https://www.youtube.com/watch?v=xTn3Gt4WCtg&list=PLQVIjL9XTrQ1wsVdARitcDQ6iaCozl_yK,https://edu.gcfglobal.org/es/como-usar-chrome/,Internet,"Empezando con Google Chrome,Navegando en Google Chrome,Personalizar Google Chrome,Administrar marcadores o favoritos,Opciones de seguridad"
20,Crear un Correo Electrónico,"En este curso te enseñaremos cómo usar una cuenta de correo electrónico desde cero, también conocerás los diferentes proveedores de correos que existen y cómo puedes crear una cuenta para cada uno de ellos. 
",https://edu.gcfglobal.org/es/crear-un-correo-electronico/que-es-el-correo-electronico/1/,https://www.youtube.com/watch?v=H6kVKoq3OOk&list=PLQVIjL9XTrQ20L4QuOjpwSUe1Vh78pEOM,https://edu.gcfglobal.org/es/crear-un-correo-electronico/,Internet,"¿Qué es el correo electrónico?, Estructura de un correo electrónico ,Aprende a crear una cuenta en Gmail,Aprende a crear una cuenta en Outlook,Aprende a crear una cuenta en Yahoo!,¿Cómo enviar archivos adjuntos?,Seguridad en tu correo electrónico, Tu correo electrónico en dispositivos móviles,Test"
21,Actividades de ocio por internet,En este curso encontrarás distintas alternativas para realizar actividades de ocio en línea y conocerás otras formas de entretenerte mientras navegas en la red.,https://edu.gcfglobal.org/es/actividades-de-ocio-por-internet/que-es-el-ocio/1/,0,https://edu.gcfglobal.org/es/actividades-de-ocio-por-internet/,Internet,Cultura Online
22,Excel 365,Aprende a usar las herramientas básicas de Excel 365 para realizar cálculos matemáticos y tareas contables desde la nube. ,https://edu.gcfglobal.org/es/excel-365/novedades-de-excel-365/1/,0,https://edu.gcfglobal.org/es/excel-365/,Microsoft Office,"Conoce Excel 365,Crear un archivo en Excel 365,Operaciones básicas en una hoja de cálculo,Tablas y gráficos en Excel 365,Guardar e imprimir en Excel 365,Trabajo en equipo en Excel 365"
23,Word 365,"Aprende a usar las herramientas básicas de Microsoft Word 365 para elaborar documentos desde la nube, sin perder la esencia de la interfaz.",https://edu.gcfglobal.org/es/word-365/como-iniciar-sesion-en-word-365/1/,https://youtube.com/playlist?list=PLQVIjL9XTrQ0kEDp3oSPWLntWoTWJapOV,https://edu.gcfglobal.org/es/word-365/,Microsoft Office,"Iniciando en Word 365,Configuración de documento,Ajustes de Fuente,Imágenes y tablas,Crear listas,Trabajo compartido,Guardar e imprimir"
24,PowerPoint 365,"Conoce las nuevas herramientas de PowerPoint 365 para organizar y personalizar tus presentaciones, mientras trabajas desde la nube.",https://edu.gcfglobal.org/es/powerpoint-365/iniciar-sesion-en-powerpoint-365/1/,0,https://edu.gcfglobal.org/es/powerpoint-365/,Microsoft Office,"Iniciando en PowerPoint 365,Herramientas básicas de PowerPoint 365,Nuevas funciones de PowerPoint 365,Interconexión con otras plataformas de Office 365.,Trabajo colaborativo,Guardar e imprimir,Test PowerPoint 365"
25,PowerPoint 2019,En este curso aprenderás las características y funciones de PowerPoint 2019.,https://edu.gcfglobal.org/es/powerpoint-2019/introduccion-a-powerpoint-2019/1/,https://www.youtube.com/playlist?list=PLQVIjL9XTrQ3NO-zTKTPC-IeCxqveJTBF,https://edu.gcfglobal.org/es/powerpoint-2019/,Microsoft Office,Introducción a PowerPoint 2019
26,Word 2016,En este curso lograrás conocer a la perfección todas las herramientas y novedades que Word 2016 tiene para ti.,https://edu.gcfglobal.org/es/word-2016/pestana-informacion/1/,https://www.youtube.com/playlist?list=PLQVIjL9XTrQ3c_DQTSpJCJ9c9fCwR9uq5,https://edu.gcfglobal.org/es/word-2016/,Microsoft Office,"Panel principal,Edición de texto y párrafo,Formato de página,Diseño de página,Tablas y gráficos,Referencias,Revisión de texto,Herramientas de apoyo,Colaboración en Word"
27,Excel 2016,En este curso puedes aprender cómo funciona Excel 2016 y cuáles son sus principales características.,https://edu.gcfglobal.org/es/excel-2016/elementos-de-excel-2016/1/,https://www.youtube.com/watch?v=TaGIOoLBrVE&list=PLQVIjL9XTrQ21WsDXJhgwxBdZX2hOGif9,https://edu.gcfglobal.org/es/excel-2016/,Microsoft Office,"Interfaz de Excel 2016,Cómo trabajar con un archivo de Excel 2016,Función Fórmulas en Excel 2016,Herramientas de Excel 2016,Tablas y gráficos en Excel 2016,Microsoft Excel para móviles"
28,PowerPoint 2016,"En este curso vas a aprender desde lo más básico de Power Point, reconocer su interfaz, hasta características más avanzadas como insertar videos, imágenes, gráficos y enlaces en tus diapositivas.",https://edu.gcfglobal.org/es/power-point-2016/conoce-powerpoint-2016/1/,0,https://edu.gcfglobal.org/es/power-point-2016/,Microsoft Office,"Empezando con PowerPoint 2016,Iniciando con las presentaciones,Trabajando con diapositivas,Test PowerPoint 2016"
29,Word 2013,"En este curso encontrarás todo lo que necesitas saber para usar Microsoft Word 2013 y sacar el mayor provecho de todas las herramientas que te brinda, como trabajar de la mano con una nube de información, insertar tablas, gráficos ,y mucho más.",https://edu.gcfglobal.org/es/word-2013/conoce-la-interfaz-de-word-2013/1/,https://www.youtube.com/watch?v=iHIRipdBMD4&list=PLQVIjL9XTrQ3cj6FOKdX8aQI5JsTqOQHx,https://edu.gcfglobal.org/es/word-2013/,Microsoft Office,"Interfaz de Word 2013,Crear y abrir documentos en Word 2013,Guarda, imprime y comparte tus documentos en Word 2013,Bases de texto en Word 2013,Estilos y temas de Word 2013,Revisar ortografía y gramática en Word 2013,Diseño de página en Word 2013,Sangría y tabulaciones en Word 2013,Lista de viñetas de Word 2013,Hipervínculos de Word 2013,Cómo usar columnas en Word 2013,Cómo usar los tipos de Saltos en Word 2013,Encabezados Pies y Números de página,Tablas y Gráficas en Word 2013,Guía básica de imágenes en Word 2013,Control de cambios y Comentarios en Word 2013"
30,PowerPoint 2013,Aprende a manejar todos los recursos que te ofrece Microsoft PowerPoint 2013. Conoce todas sus funcionalidades y crea diferentes  presentaciones.,https://edu.gcfglobal.org/es/powerpoint-2013/introduccion-y-entorno-de-powerpoint/1/,https://www.youtube.com/watch?v=ittNSBxIDLE&list=PLQVIjL9XTrQ2NTt_K8-mZZvv-mB4q6aPQ,https://edu.gcfglobal.org/es/powerpoint-2013/,Microsoft Office,"Lo que debes saber de PowerPoint,Generalidades sobre presentaciones de PowerPoint,Fundamentos de las diapositivas,¿Cómo imprimir tu presentación?,Fundamentos básicos de texto,Formas y WordArt,Comprobación de ortografía y gramática,Cómo funcionan las listas,La sangría y el espaciado de línea,Inserción y formato de imágenes,Uso y elementos de los temas,Organización y animación objetos,La inserción de videos,La inserción de audios,Uso de tablas,Uso de gráficos,Hipervínculos y botones de acción,La presentación de las diapositivas"
31,Microsoft Word 2010,"En este curso obtendrás toda la información que necesitas para hacer tu trabajos en Word 2010. Aprenderás las posibilidades que te da este programa para trabajar con textos, imágenes, documentos, tablas, gráficos y mucho más.",https://edu.gcfglobal.org/es/microsoft-word-2010/bienvenido-a-microsoft-word-2010/1/,https://www.youtube.com/watch?v=k1c5aexfBd0&list=PL32E4DAE970EDA69F,https://edu.gcfglobal.org/es/microsoft-word-2010/,Microsoft Office,"Introducción a Word 2010,Formato de texto en Word 2010,Guardar y recuperar archivos en Word 2010,Configurar página en Word 2010,Revisión ortográfica y gramatical en Word 2010,Cómo imprimir en Word 2010,Sangría y tabulación en Word 2010,Modificar el espaciado del texto en Word 2010,Añadir listas con viñetas en Word 2010,¿Cómo crear saltos de página en Word 2010?,Organizar el texto en columnas en Word 2010,Insertar hipervínculos en Word 2010,Insertar formas en Word 2010,Insertar cajas de texto y WordArt en Word 2010,Insertar y modificar imágenes en Word 2010,Aplicar, crear y modificar estilos y temas en Word 2010,Insertar el encabezado y pie de página en Word 2010,Revisar documentos en Word 2010,Trabajar con tablas en Word 2010,Utilizar y modificar plantillas en Word 2010"
32,Power Point 2010,"En este curso aprenderás cómo usar Power Point 2010. Verás desde los conceptos más básicos hasta los pasos que debes seguir para hacer una presentación efectiva completa que incluya audio, imágenes, animaciones, efectos y mucho más.",https://edu.gcfglobal.org/es/power-point-2010/que-es-power-point-2010-y-para-que-es-util/1/,https://www.youtube.com/watch?v=GjtjFedKSG8&list=PLQVIjL9XTrQ3Lab6zS_9mdsTpK3NKRItu,https://edu.gcfglobal.org/es/power-point-2010/,Microsoft Office,"Introducción a Power Point,Crear una presentación en Power Point,Incluye imágenes en tu presentación,Aprende a aplicar temas a tu presentación,Aplicar transiciones a tu presentación,¿Cómo exponer tu presentación en público?,Anima tu presentación,Incluir videos a tu presentación,Insertar música y sonidos a tu presentación,Incluir hipervínculos y botones,Opciones avanzadas de PowerPoint 2010"
33,Microsoft Excel 2010,En este curso aprenderás todo lo que necesitas para utilizar Excel 2010. Irás desde los conceptos más básicos hasta aquellos más avanzados para aprovechar las ventajas de este programa.,https://edu.gcfglobal.org/es/microsoft-excel-2010/que-es-excel-2010-y-para-que-es-util/1/,https://www.youtube.com/watch?v=Te9wM9HaunQ&list=PLQVIjL9XTrQ3Z6WxZIGp4gUTj39qa3RRM,https://edu.gcfglobal.org/es/microsoft-excel-2010/,Microsoft Office,"Introducción a Excel 2010,Aprende a usar las celdas, filas y columnas,Aprende a trabajar en un libro de cálculo de Excel 2010,Aprende a crear fórmulas en Excel 2010,Explora las funciones básicas de Excel 2010,Clasificar los datos en Excel 2010,Filtrar datos en Excel 2010,Configurar tablas en Excel 2010,Trabajar con gráficos en Excel 2010,Agregar reglas condicionales a los datos,Trabajar con tablas y gráficos dinámicos,El análisis de hipótesis en Excel 2010"
34,Microsoft Office 2010,¡Aprende y conoce interactivamente las funciones y usos de Microsoft Office 2010!,https://edu.gcfglobal.org/es/microsoft-office-2010/descargar-e-instalar-microsoft-office-2010/1/,0,https://edu.gcfglobal.org/es/microsoft-office-2010/,Microsoft Office,"Cómo descargar Microsoft Office,Cómo abrir y cerrar archivos de Office 2010,Cómo usar la pantalla de Office 2010,Guardar e Imprimir en Office 2010,Cortar, Copiar, Pegar y Copiar Formato,Aprende a insertar imágenes y vínculos,Funciones Deshacer y Rehacer de Office 2010,Revisar y corregir ortografía en Office 2010"
35,Access 2010,"En este curso aprenderás cómo usar Access 2010. Verás desde los conceptos más básicos como qué y para que sirve Access hasta realizar las actividades más avanzadas como crear tablas, formularios, búsquedas reportes.",https://edu.gcfglobal.org/es/access-2010/que-es-access-2010/1/,0,https://edu.gcfglobal.org/es/access-2010/,Microsoft Office,"Trabajar con bases de datos,Comenzar a trabajar con Access 2010,Trabajar con tablas,Trabajar con formularios,Diseñar búsquedas o consultas,Crear reportes"
36,Access 2007,"Con este curso explorarás el programa Microsoft Access 2007 en su totalidad: aprenderás a crear, manejar y gestionar bases de datos, tablas de registro, formularios y guardar información sobre cualquier área que desees o requieras.",https://edu.gcfglobal.org/es/access-2007/que-es-access-2007/1/,0,https://edu.gcfglobal.org/es/access-2007/,Microsoft Office,"¿Por qué necesitamos bases de datos?,Explorar una base de datos de Access,El diseño de las bases de datos,Construir relaciones entre tablas en Access 2007,Ingresar y editar datos en tablas en Access 2007,Crear y usar formularios en Access 2007,Crear formularios más útiles en Access 2007,Crear formularios más atractivos en Access 2007,Organizar registros en Access 2007,Filtrar registros en Access 2007,Consultas en Access 2007 (parte 1),Consultas en Access 2007 (parte 2),Crear informes para los demás en Access 2007"
37,Word 2007,"En este curso encontrarás desde los conceptos más básicos, hasta los más avanzados para que puedas usar Word 2007.",https://edu.gcfglobal.org/es/word-2007/personaliza-word-2007/1/,https://www.youtube.com/watch?v=2dmLnjsQVW4&list=PL383D60B94B16F26F,https://edu.gcfglobal.org/es/word-2007/,Microsoft Office,"Personalizando Word 2007,Texto básico en Word 2007,Guardar documentos en Word 2007,Correcciones en Word 2007,Hipervínculos en Word 2007,Imprimir en Word 2007,Nuevo documento en Word 2007,Personalizar texto en Word 2007,Cuadros de texto en Word 2007,Imágenes Prediseñadas en Word 2007,Insertar Formas en Word 2007,Plantillas en Word 2007,Trabajar con listas en Word 2007,Párrafos y líneas en Word 2007,Diseño de Página en Word 2007,Trabajar con imágenes en Word 2007,Columnas y Ordenar en Word 2007,Encabezado y Pie de página en Word 2007,Tablas en Word 2007,Gráficos SmartArt en Word 2007,Sangría y Tabulación en Word 2007,Aplicar estilos y temas en Word 2007"
38,PowerPoint 2007,"El curso de PowerPoint 2007 de GCFAprendeLibre.org te guiará paso a paso para la creación de tus presentaciones. Aprenderás a diseñar diapositivas, insertar imágenes prediseñadas, a aplicar temas y estilos e incluso insertar audio y videos.",https://edu.gcfglobal.org/es/powerpoint-2007/interfaz-de-powerpoint-2007/1/,0,https://edu.gcfglobal.org/es/powerpoint-2007/,Microsoft Office,"Personalizando Power Point,Lo básico de las presentaciones,Lo básico del texto,Temas y estilos de fondo en Power Point 2007,Imágenes prediseñadas y de Archivo en Power Point 2007,Listas en Power Point 2007,Revisar diapositivas,Imprimir diapositivas en Power Point 2007,Word Art y Formas en Power Point 2007,Trabajar con tablas en Power Point 2007,Trabajar con Gráficos en Power Point 2007,Insertar películas en Power Point 2007,Insertar sonido en Power Point 2007,Animar texto y objetos en Power Point 2007,Usar transiciones en Power Point 2007,Usar patrón de diapositivas en Power Point 2007,Ilustraciones Smart Art en Power Point 2007,Hipervínculos y botones acción en Power Point 2007,Organizar Objetos en Power Point 2007,Sangría y espaciado en Power Point 2007,Guardar tu presentación en Power Point 2007"
39,Excel 2007,Excel 2007 es un programa ideal para trabajar con números y hacer cálculos matemáticos. Aprende a manejarlo y aprovecha todas sus herramientas.,https://edu.gcfglobal.org/es/excel-2007/personaliza-tu-pantalla-de-excel/1/,0,https://edu.gcfglobal.org/es/excel-2007/,Microsoft Office,"Personaliza tu pantalla de Excel 2007,Comenzar un libro en Excel 2007,Modificar columnas, filas y celdas en Excel 2007,Formatear texto en Excel 2007,Crear fórmulas simples en Excel 2007,Trabajar con celdas en Excel 2007,Imprimir hojas de cálculo en Excel 2007,Crear fórmulas complejas en Excel 2007,Trabajar con funciones básicas en Excel 2007,Organizar, agrupar y filtrar celdas en Excel 2007,Personalizar tablas en Excel 2007,Alinear el texto en Excel 2007,Trabajar con hojas de cálculo en Excel 2007,Usar plantillas en Excel 2007,Usar Análisis Y sí en Excel 2007,Trabajar con gráficos en Excel 2007,Usar formato condicional en Excel 2007,Tablas y gráficos dinámicos en Excel 2007"
40,Office 2003,"Con este curso conocerás el uso de funciones y características que componen este sistema operativo, aprenderás a darle uso de manera sencilla, para su completa aplicación en tu computador.",https://edu.gcfglobal.org/es/office-2003/que-es-office-2003/1/,0,https://edu.gcfglobal.org/es/office-2003/,Microsoft Office,"¿Qué es Office 2003?,Abrir y cerrar programas,Manejo de los menús,Barra de herramientas y Panel,Cuadros de diálogo,Crear un nuevo archivo,Insertar y eliminar texto,Guardar y Guardar cómo,Abrir un archivo,Instrucciones para seleccionar un texto,Funciones Deshacer y Rehacer,Función Imprimir,Funciones Cortar y Pegar,Ayudante de Office 2003,Insertar Objetos,Recuperación de Documentos"
41,Windows 11,En este curso te presentamos las características principales y novedades que tiene Windows 11. Aprenderás a usar las nuevas funciones que se integraron a este sistema operativo.,https://edu.gcfglobal.org/es/windows-11/caracteristicas-de-windows-11/1/,https://youtube.com/playlist?list=PLQVIjL9XTrQ1Q8skyK4aTDgOTgYy1IMZP,https://edu.gcfglobal.org/es/windows-11/,Sistemas operativos,"Conociendo Windows 11,Actualización e Instalación de Windows 11,Personalización de Windows 11"
42,¿Cómo usar Windows 10?,Aprende a usar todas las herramientas que este sistema operativo te ofrece.,https://edu.gcfglobal.org/es/como-usar-windows-10/como-obtener-windows-10/1/,https://www.youtube.com/watch?v=moGVQKl5lEM&list=PLQVIjL9XTrQ1fDNUuH_1ePeFHeJh3RMAt,https://edu.gcfglobal.org/es/como-usar-windows-10/,Sistemas operativos,"Qué es Windows 10,Conoce Windows 10,Configuración de Windows 10,Herramientas de Windows 10,Usuarios y cuentas de Windows,Aplicaciones en Windows 10,Personalizar mi Windows"
43,Windows 8,"Con este curso aprenderás a utilizar la interface de Windows 8, conocerás trucos y el procedimiento de uso de este novedoso sistema operativo.",https://edu.gcfglobal.org/es/windows-8/que-es-windows-8/1/,https://www.youtube.com/watch?v=BlmVg-tuKyE&list=PLQVIjL9XTrQ0vUAK_CHrf39vG3pbpeoDQ,https://edu.gcfglobal.org/es/windows-8/,Sistemas operativos,"Introducción a Windows 8,Tus primeros pasos con Windows 8,Aplicaciones,Navegar en Internet,OneDrive,Mensajería instantánea,Cambiar configuración del PC"
44,Windows 7,Windows 7 es un sistema operativo moderno y de fácil configuración. Aprende cómo utilizarlo y personalizarlo aquí.,https://edu.gcfglobal.org/es/windows-7/que-es-windows-7/1/,0,https://edu.gcfglobal.org/es/windows-7/,Sistemas operativos,"Explorar Windows 7,Conseguir Windows 7,Instalar Windows 7,Características del Escritorio de Windows 7,Cuentas y Control Parental en Windows 7,Buscar en bibliotecas en Windows 7,Seguridad y Mantenimiento en Windows 7"
45,Windows XP,Conoce todas las funciones y herramientas que te ayudarán a trabajar con este magnífico sistema operativo.,https://edu.gcfglobal.org/es/windows-xp/introduccion/1/,0,https://edu.gcfglobal.org/es/windows-xp/,Sistemas operativos,"El escritorio de Windows,Mi PC y el explorador de Windows XP,La ventana de Windows XP,Modificar el tamaño de las ventanas en Windows XP,Personaliza tu Windows XP,Archivos, carpetas y discos de Windows XP,Otras herramientas de uso de Windows XP,Administrar cuentas de usuario en Windows XP,Opciones de accesibilidad en Windows XP,Usar el asistente para accesibilidad en Windows XP,Centro de ayuda y soporte técnico en Windows XP,Instrucciones para usar una impresora en Windows XP,Herramientas de mantenimiento en Windows XP"
46,Windows 98,"Con este curso aprenderás a usar Windows 98: sus funciones, usos, además de configurar y personalizar tu computador.",https://edu.gcfglobal.org/es/windows-98/que-es-windows-98/1/,0,https://edu.gcfglobal.org/es/windows-98/,Sistemas operativos,"Escritorio de Windows 98,Configuración del equipo,Ventanas en Windows 98,Archivos, carpetas y unidades de disco,Búsqueda y Ayuda en Windows 98,Impresoras y Papelera de reciclaje,Herramientas de accesibilidad"
47,Curso de macOS,Una guía básica para aprender a manejar un equipo con sistema operativo macOS.,https://edu.gcfglobal.org/es/curso-de-mac-os/que-es-macos/1/,0,https://edu.gcfglobal.org/es/curso-de-mac-os/,Sistemas operativos,"¿Qué es macOS?,Empezar a usar Mac,Configurar el equipo,Cómo manejar macOS,Cómo conectarse a internet desde un Mac,Aplicaciones en macOS,Aplicaciones preinstaladas en Mac,Migración de archivos"
48,Programas y problemas comunes de Windows,"Hay ciertos problemas o errores que suelen aparecer mientras trabajas en tu computador Windows, especialmente en la versión 10. En este curso te daremos herramientas para que puedas darles solución, mientras te contamos sobre algunos programas.",https://edu.gcfglobal.org/es/programas-y-problemas-comunes-de-windows/que-es-microsoft-windows/1/,0,https://edu.gcfglobal.org/es/programas-y-problemas-comunes-de-windows/,Sistemas operativos,"Conoce Microsoft Windows,Aplicaciones recientes de Windows,Problemas y errores comunes de Windows,Test Problemas y programas de Windows"
49,iPhone,"Con este curso aprenderás a usar el iPhone: usos de los botones, cómo descargar aplicaciones y música; tomar fotos, trucos, atajos y muchas cosas más.",https://edu.gcfglobal.org/es/iphone/cuales-son-sus-botones/1/,0,https://edu.gcfglobal.org/es/iphone/,Dispositivos móviles,"Partes físicas de iPhone,Interfaz del iPhone,iPhone como teléfono,iPhone como iPod,Aplicaciones generales del iPhone"
